82, Keyboard Alpha,Keyboard Layouts Part 2: Alphanumeric section                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,NISP Standard
632,NVG 1.4,NVG 1.4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,Other standard
695, WSDL 2.0,Web Services Description Language (WSDL) Version 2.0 Part 1: Core Language                                                                                                                                                                                                                                                                                                                                                                                                                                          ,NISP Standard
735, ECMA-262,ECMAScript Language Specification ed.5.1:2011                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,NISP Standard
791, DM,"Delta Modulation (DM), EUROCOM D/0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",NISP Standard
1035, RFC 3181,Signalled Preemption Priority Policy Element                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,NISP Standard
1063, LPC-10,Linear Predictive Coding at 2400 b/s                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
1113, RFC 5880,Bidirectional Forwarding Detection (BFD)                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,NISP Standard
1141, nist-sp800-56brev1,Recommendation for Pair-Wise KeyEstablishment Schemes Using Integer Factorization Cryptography                                                                                                                                                                                                                                                                                                                                                                                                                      ,NISP Standard
1205, RFC 7427,Signature Authentication in the Internet Key Exchange Version 2 (IKEv2)                                                                                                                                                                                                                                                                                                                                                                                                                                             ,NISP Standard
1334, SPA Part 4,Software Process Assessment Part 4: Guidance on use for process improvement and process capability determination                                                                                                                                                                                                                                                                                                                                                                                                    ,NISP Standard
1478, 1000Base-T,Ethernet IEEE 802.3 Clause 40                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,NISP Standard
1543, RFC 5966,DNS Transport over TCP - Implementation Requirements                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
1, XEP-0082,XEP-0082: XMPP Date and Time Profiles                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,NISP Standard
2, APP-06 Ed D Ver 1,NATO Joint Military Symbology                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,NISP Standard
3, SISO Link11 Sim,Link 11 Simulation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,NISP Standard
4, RFC 4861: Neighbor Discovery vor IPv6,Neighbor Discovery for IPv6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,NISP Standard
1164, TACOMS,TACOMS: Head STANAG                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,NISP Standard
5, STANAG 1116 Ed 10,Specifications for Naval Mine Warfare Information and for Data Transfer - AMP-11 (Supplement) Edition A                                                                                                                                                                                                                                                                                                                                                                                                             ,NISP Cover Document
6,DGIWG 208,DGIWG 208                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,Other standard
7, Keyboard Allocation,Keyboard Layouts Part 8: Allocation of letters to the keys of a numeric keypad                                                                                                                                                                                                                                                                                                                                                                                                                                      ,NISP Standard
8,AIntP-14 JISR TTPs,AIntP-14 JISR TTPs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,Roadmap Standard
9, SCIP-233.308,MERCATOR ECDH Key Agreement and TEK Derivation Specification rev.1.0                                                                                                                                                                                                                                                                                                                                                                                                                                                ,NISP Standard
10,ADatP-36 (B),ADatP-36 (B)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Other standard
